@relation brain_tumor_classification
@attribute contrast REAL
@attribute correlation REAL
@attribute energy REAL
@attribute homogeneity REAL
@attribute mean REAL
@attribute standard_deviation REAL
@attribute entropy REAL
@attribute rms REAL
@attribute variance REAL
@attribute smoothness REAL
@attribute kurtosis REAL
@attribute skewness REAL
@attribute idm REAL
@attribute label {BENIGN, MALIGNANT}
   
0.0206,0.6726,0.9171,0.9897,0.0051,0.0897,3.0367,0.0898,0.0081,0.9497,17.4635,1.7007,0.0828,BENIGN
0.0351,0.8046,0.7864,0.9824,0.0034,0.0898,3.2447,0.0898,0.0081,0.9264,7.3394,0.6978,-0.3183,BENIGN
0.0231,0.8262,0.8444,0.9884,0.0043,0.0897,2.8328,0.0898,0.0080,0.9417,9.6373,0.7305,-0.3520,BENIGN
0.0187,0.8451,0.8606,0.9906,0.0030,0.0898,3.1261,0.0898,0.0080,0.9186,10.3494,0.8518,0.9991,BENIGN
0.0346,0.7803,0.8093,0.9827,0.0033,0.0898,3.2950,0.0898,0.0080,0.9247,7.1621,0.6889,-0.3103,BENIGN
0.0512,0.7816,0.7172,0.9744,0.0028,0.0898,3.1840,0.0898,0.0081,0.9134,7.6515,0.6583,0.9101,BENIGN
0.0524,0.7751,0.7175,0.9738,0.0027,0.0898,3.0082,0.0898,0.0080,0.9086,7.6798,0.5823,-0.0585,BENIGN
0.0206,0.8076,0.8731,0.9897,0.0028,0.0898,2.7257,0.0898,0.0081,0.9111,10.6780,0.8122,0.8810,BENIGN
0.0387,0.7976,0.7716,0.9807,0.0041,0.0897,3.0274,0.0898,0.0081,0.9381,9.2540,0.9508,0.8196,BENIGN
0.0310,0.7558,0.8430,0.9845,0.0029,0.0898,2.6954,0.0898,0.0081,0.9153,16.0374,1.6140,0.0475,BENIGN
0.0351,0.8046,0.7864,0.9824,0.0034,0.0898,3.2447,0.0898,0.0081,0.9264,7.3394,0.6978,-0.3183,BENIGN
0.0353,0.8036,0.7863,0.9824,0.0032,0.0898,3.2316,0.0898,0.0081,0.9226,8.0998,0.7568,-0.3715,BENIGN
0.0390,0.7980,0.7694,0.9805,0.0024,0.0898,3.0500,0.0898,0.0081,0.8993,8.2284,0.6604,0.5828,BENIGN
0.0314,0.8049,0.8089,0.9843,0.0017,0.0898,3.0324,0.0898,0.0081,0.8652,8.2680,0.6179,0.6244,BENIGN
0.0204,0.7389,0.9019,0.9898,0.0024,0.0898,3.4190,0.0898,0.0080,0.8990,7.3128,0.5890,1.1189,BENIGN
0.0243,0.7429,0.8819,0.9879,0.0032,0.0898,2.9846,0.0898,0.0081,0.9224,8.0215,0.6618,0.7554,BENIGN
0.0215,0.8123,0.8647,0.9893,0.0050,0.0897,2.8138,0.0898,0.0080,0.9486,16.4121,1.5446,0.2548,BENIGN
0.0620,0.7446,0.6990,0.9690,0.0019,0.0898,3.1328,0.0898,0.0080,0.8773,7.1499,0.5738,-1.0318,BENIGN
0.0260,0.8414,0.8109,0.9870,0.0032,0.0898,3.1673,0.0898,0.0080,0.9219,10.4679,1.0627,-0.4316,BENIGN
0.0052,0.8843,0.9496,0.9974,0.0055,0.0896,1.7155,0.0898,0.0081,0.9536,38.6958,3.4814,1.1855,BENIGN
0.0409,0.7877,0.7681,0.9795,0.0027,0.0898,3.2303,0.0898,0.0080,0.9088,7.8153,0.6747,-0.1730,BENIGN
0.0513,0.7582,0.7394,0.9744,0.0032,0.0898,3.3031,0.0898,0.0080,0.9228,8.3860,0.8196,0.1819,BENIGN
0.0516,0.7943,0.7002,0.9742,0.0041,0.0897,3.0058,0.0898,0.0080,0.9390,7.3141,0.6862,0.3238,BENIGN
0.0242,0.7856,0.8636,0.9879,0.0015,0.0898,2.4888,0.0898,0.0081,0.8518,17.0752,1.3466,0.3018,BENIGN
0.0187,0.8324,0.8698,0.9906,0.0035,0.0897,2.9032,0.0898,0.0081,0.9279,10.6614,0.9442,-0.5064,BENIGN
0.0279,0.7129,0.8755,0.9860,0.0031,0.0898,3.1904,0.0898,0.0080,0.9191,12.4940,1.2420,-0.2275,BENIGN
0.0305,0.8093,0.8105,0.9847,0.0027,0.0898,2.7516,0.0898,0.0081,0.9097,21.1857,1.8368,0.7666,BENIGN
0.0235,0.7390,0.8872,0.9883,0.0031,0.0898,3.3721,0.0898,0.0080,0.9191,7.6581,0.5927,0.8800,BENIGN
0.0257,0.7686,0.8637,0.9871,0.0028,0.0898,2.8042,0.0898,0.0081,0.9114,8.3203,0.7767,-0.1735,BENIGN


@data
0.0206,0.6603,0.9192,0.9897,0.0040,0.0897,2.6242,0.0898,0.0081,0.9375,18.2647,1.6566,-1.2657,MALIGNANT
0.0531,0.7415,0.7442,0.9734,0.0038,0.0897,2.7008,0.0898,0.0081,0.9336,15.3737,1.3867,0.6525,MALIGNANT
0.0349,0.7584,0.8220,0.9826,0.0047,0.0897,2.9452,0.0898,0.0081,0.9459,9.6298,0.8627,1.8211,MALIGNANT
0.0981,0.7568,0.5082,0.9510,0.0025,0.0898,3.2493,0.0898,0.0080,0.9016,5.9124,0.3855,-0.6123,MALIGNANT
0.0258,0.7871,0.8538,0.9871,0.0038,0.0897,3.1127,0.0898,0.0081,0.9341,7.7887,0.7594,0.4647,MALIGNANT
0.0386,0.6711,0.8456,0.9807,0.0039,0.0897,3.1007,0.0898,0.0080,0.9363,8.3230,0.8126,0.2697,MALIGNANT
0.0046,0.8906,0.9536,0.9977,0.0054,0.0897,1.6114,0.0898,0.0081,0.9524,41.9751,3.8111,1.8534,MALIGNANT
0.0487,0.7486,0.7600,0.9757,0.0051,0.0897,3.1454,0.0898,0.0081,0.9495,9.5189,0.9512,0.0802,MALIGNANT
0.0214,0.7960,0.8744,0.9893,0.0040,0.0897,3.1937,0.0898,0.0080,0.9373,8.5949,0.6095,-0.4290,MALIGNANT
0.0470,0.7305,0.7809,0.9765,0.0047,0.0897,3.1373,0.0898,0.0080,0.9460,8.6444,0.7591,0.4922,MALIGNANT
0.0416,0.7478,0.7951,0.9792,0.0039,0.0897,2.6341,0.0898,0.0081,0.9354,15.8015,1.4488,0.7529,MALIGNANT
0.0529,0.8149,0.6643,0.9736,0.0018,0.0898,3.0128,0.0898,0.0081,0.8712,6.9108,0.4770,1.9506,MALIGNANT
0.0346,0.7735,0.8137,0.9827,0.0042,0.0897,3.3043,0.0898,0.0081,0.9396,7.1848,0.7672,-0.0731,MALIGNANT
0.0474,0.7858,0.7335,0.9763,0.0010,0.0898,3.5530,0.0898,0.0080,0.7795,5.8400,0.4629,-0.0759,MALIGNANT
0.0356,0.6858,0.8524,0.9822,0.0062,0.0896,3.2125,0.0898,0.0080,0.9586,8.4960,0.7946,0.3287,MALIGNANT
0.0367,0.7098,0.8381,0.9816,0.0013,0.0898,3.1536,0.0898,0.0081,0.8301,7.0287,0.5673,1.4456,MALIGNANT
0.0303,0.7266,0.8598,0.9848,0.0047,0.0897,3.2586,0.0898,0.0081,0.9460,8.2320,0.6940,-0.1622,MALIGNANT
0.0244,0.8027,0.8527,0.9878,0.0056,0.0896,2.9823,0.0898,0.0081,0.9544,24.0441,2.5284,1.5819,MALIGNANT
0.0105,0.8219,0.9310,0.9948,0.0038,0.0897,2.2758,0.0898,0.0080,0.9343,22.9114,2.0954,1.1752,MALIGNANT
0.0448,0.7882,0.7456,0.9776,0.0039,0.0897,3.1187,0.0898,0.0081,0.9348,7.5831,0.5653,1.3305,MALIGNANT
