@relation brain_tumor_classification
@attribute contrast REAL
@attribute correlation REAL
@attribute energy REAL
@attribute homogeneity REAL
@attribute mean REAL
@attribute standard_deviation REAL
@attribute entropy REAL
@attribute rms REAL
@attribute variance REAL
@attribute smoothness REAL
@attribute kurtosis REAL
@attribute skewness REAL
@attribute idm REAL
@attribute label {BENIGN, MALIGNANT}
    
@data 
0.0950,0.7647,0.5103,0.9525,0.0055,0.0896,3.3047,0.0898,0.0081,0.9530,5.4062,0.4777,0.6291,MALIGNANT
0.0570,0.8763,0.4853,0.9715,0.0025,0.0898,3.4609,0.0898,0.0080,0.9046,6.5033,0.5224,0.0811,BENIGN
0.0256,0.8374,0.8176,0.9872,0.0053,0.0897,3.5886,0.0898,0.0080,0.9517,7.4092,0.7020,1.8417,MALIGNANT
0.0307,0.8462,0.7706,0.9846,0.0035,0.0897,3.3384,0.0898,0.0080,0.9289,8.3651,0.7363,0.7932,MALIGNANT
0.0331,0.8303,0.7728,0.9834,0.0035,0.0897,3.5538,0.0898,0.0080,0.9292,6.2913,0.4755,2.6173,MALIGNANT
0.0754,0.7667,0.6070,0.9623,0.0060,0.0896,3.3617,0.0898,0.0081,0.9574,7.0827,0.6636,1.2979,MALIGNANT
0.0394,0.8320,0.7279,0.9803,0.0060,0.0896,3.6273,0.0898,0.0080,0.9570,6.9065,0.6009,1.1286,BENIGN
0.0395,0.8699,0.6585,0.9803,0.0039,0.0897,3.5886,0.0898,0.0080,0.9349,6.5424,0.6830,1.4279,MALIGNANT
0.0599,0.8428,0.5624,0.9700,0.0037,0.0897,3.3683,0.0898,0.0080,0.9317,6.2986,0.5907,0.3912,BENIGN
0.0211,0.8053,0.8709,0.9894,0.0048,0.0897,2.5410,0.0898,0.0081,0.9471,24.0497,2.1803,2.4188,MALIGNANT
0.0378,0.8441,0.7213,0.9811,0.0037,0.0897,3.5684,0.0898,0.0080,0.9316,5.6068,0.4820,1.0286,MALIGNANT
0.0255,0.8183,0.8354,0.9873,0.0039,0.0897,3.3348,0.0898,0.0080,0.9355,10.4829,0.8913,1.7159,MALIGNANT
0.0213,0.8679,0.8179,0.9893,0.0048,0.0897,3.2100,0.0898,0.0081,0.9473,11.6555,1.1793,2.3160,MALIGNANT
0.0436,0.8645,0.6368,0.9782,0.0042,0.0897,3.5122,0.0898,0.0080,0.9396,7.5556,0.5147,-0.8976,MALIGNANT
0.0387,0.7976,0.7716,0.9807,0.0041,0.0897,3.0274,0.0898,0.0081,0.9381,9.2540,0.9508,0.8196,BENIGN
0.0577,0.8255,0.6150,0.9712,0.0038,0.0897,3.1260,0.0898,0.0081,0.9334,6.6955,0.4667,0.5907,BENIGN
0.0346,0.7701,0.8163,0.9827,0.0044,0.0897,3.3483,0.0898,0.0080,0.9421,6.8689,0.7319,-0.0490,BENIGN
0.0521,0.7414,0.7491,0.9739,0.0049,0.0897,3.1857,0.0898,0.0081,0.9475,8.6038,0.8120,0.4864,MALIGNANT
